,Eroded Material,Sample preparation,Material Treatment,Erodent,Shape,Size (µm),Size range (µm),Size (mesh),Velocity (m/s),V Pressure (PSI),Vair (m/s),V KinE (m/s),Incident angle,Total Erodent mass (g),Erodent flux (g/(cm^2*s)),Particle Flow rate (g/minute),Dust concentration (mg/ft^3),Working Distance (mm),Nozzle Diameter (mm),Nozzle length (mm),Carrier Gas,Temperature (°C),Erosion Rate (mm^3/g),ASTM G76 Mentioned?,Publication Year,Source,Test type,Quality score,Note,Column1,Column2,Unnamed: 34,Target Hardness (GPa),Target Hardness from Vickers,Target Hardness from Rockwell,Target Density (kg/m^3),Target Elastic Modulus (GPa),Target Poisson Ratio,Target Ductile/Brittle,Target Thermal conductivity (W/m*K),Target Yield Strength (MPa),Target Tensile Strength (MPa),Target Fracture toughness (MPa*m^0.5),Target Melting Temp (°C),Erodent Density (kg/m^3),Erodent Hardness (GPa),Erodent Melting Temp (°C),Erodent Young's Modulus (GPa),Erodent Poisson's Ratio,Erodent Fracture toughness (MPa*m^0.5),Erosion Rate (mg/g)
0,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,RT,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.131
1,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,100,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.13
2,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,200,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.13
3,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,300,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.139
4,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,400,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.144
5,Ti-6Al-4V,,Solution Treament,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,500,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.155
6,Ti-6Al-4V,,Annealed 770C 3.5 hrs,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,RT,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.125
7,Ti-6Al-4V,,Annealed 770C 3.5 hrs,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,100,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.126
8,Ti-6Al-4V,,Annealed 770C 3.5 hrs,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,200,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.126
9,Ti-6Al-4V,,Annealed 770C 3.5 hrs,SiC,Angular,125,,120,65,,,,30,100,4.21,0.91,,7,3,300,Air,300,,No,1995,1,Gas Blast,5,"Change as function of temp, lots of oxidation at 800",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.14
